id,name,sort_order,is_active
1,トイレ横ラック,1,1
2,ラック上から2段目一番右箱,2,1
3,ラック上から2段目右から2番目箱,3,1
4,ラック上から2段目右から3番目箱,4,1
5,ラック上から2段目右から４番目箱,5,1
6,ラック上から3段目,6,1
7,ラック上から3段目右箱,7,1
8,ラック上から3段目左箱,8,1
9,トイレ横,9,1
10,ラック一番上,10,1
11,ラック上から2段目一番左,11,1
12,ラック上から3段目中央,12,1
