id,count_id,item_id,count_quantity,confirm_status,location_id_at_count,counted_by,counted_at,notes,created_at,updated_at,created_by,updated_by,source_excel_rows
49,1,50,2,confirmed,7,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,55
50,1,51,2,confirmed,7,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,56
51,1,52,5,confirmed,8,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,57
52,1,53,3,confirmed,8,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,58
53,1,54,2,confirmed,8,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,59
54,1,55,1,confirmed,1,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,60
55,1,56,1,confirmed,1,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,61
56,1,57,1,confirmed,1,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,62
57,1,58,1,confirmed,1,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,63
58,1,59,1,confirmed,1,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,64
59,1,60,1,confirmed,1,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,65
60,1,61,1,confirmed,1,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,66
61,1,62,1,confirmed,1,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,67
62,1,63,21,confirmed,9,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,68
63,1,64,16,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,69
64,1,65,25,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,70
65,1,66,10,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,71
66,1,67,5,confirmed,,,,,2026-09-17 08:59:11,2026-09-17 08:59:11,excel_import,excel_import,72
