id,count_name,base_date,count_period,entry_date,start_date,end_date,status,notes,created_by,created_at,confirmed_by,confirmed_at
1,2025/12/26 棚卸,2025-12-26,棚卸期間：2025/12/26,2026-01-08,,,confirmed,Excel シート1 F列「棚卸数」より移行,excel_import,2026-09-17 08:08:07,excel_import,2026-09-17 08:08:07
2,2026/1/6 棚卸,2026-01-06,棚卸数 2026/1/6,,,,confirmed,Excel シート1 G列「棚卸数 2026/1/6」より移行,excel_import,2026-09-17 08:08:07,excel_import,2026-09-17 08:08:07
