sheet,excel_row,品名,状態,管理No,保管場所(セル値),保管場所(結合補完),結合元,棚卸数(F),棚卸数2026/1/6(G),G結合補完,備考,I列(ヘッダなし)
シート1,63,スキャンスナップＳ300,中古,,,トイレ横ラック,E60:E67,1,1,1,,
シート1,64,ＡＴＫ電源ユニット（保証書類のみ）,,NKC002,,トイレ横ラック,E60:E67,1,,,,
シート1,65,プロジェクターＧＤＰ１Ｗ,,,,トイレ横ラック,E60:E67,1,1,1,,
シート1,66,プロジェクター布,,,,トイレ横ラック,E60:E67,1,,,,
シート1,67,mac book Air,,NKC-OZAKI,,トイレ横ラック,E60:E67,1,,,20260916　森　　在庫棚,
シート1,68,HDMI,,,トイレ横,トイレ横,,21,4,4,,
シート1,69,LANケーブル(大),,,,,,16,25,25,,
シート1,70,LANケーブル(小),,,,,,25,22,22,,
シート1,71,Displayケーブル,,,,,,10,,,,
シート1,72,Display電源ケーブル,,,,,,5,13,13,,
シート1,73,,,,,,,2,,13,,
シート1,74,Cタイプケーブル,,,,,,1,1,1,,
シート1,75,USB C タイプケーブル,,,,,,2,,,,
シート1,76,ノート電源ケーブルNEC,,,,,,1,,,,
シート1,77,アナログケーブル　USB,,,,,,4,5,5,,
シート1,78,延長ケーブル(4口),,,,,,0,1,1,大村さんの机で使用中(設定作業の電源口数を増やすため),
シート1,79,延長ケーブル(6口),,,,,,1,,,,
シート1,80,延長ケーブル(7口),,,,,,,1,1,,
シート1,81,延長ケーブル(10口),新品,,,,,3,3,3,,
シート1,82,延長ケーブル(10口),中古,,,,,1,1,1,,
シート1,83,IEC電源タップ(4口),中古,,,,,3,3,3,,
シート1,84,デジタル to デジタルケーブル,,,,,,1,,,,
シート1,85,音声ケーブル,,,,,,5,4,4,,
シート1,86,電話線,,,,,,11,10,10,,
シート1,87,電話線アダプタ,,,,,,,1,1,,
シート1,88,電話　分配ケーブル,,,,,,,1,1,,
シート1,89,三口変換コネクタ,,,,,,11,14,14,,
シート1,90,ノート電源ケーブルPhilips,,,,,,0,,,,
シート1,91,Displayケーブル to HDMI　変換ケーブル,新品,,,,,1,,,,
シート1,92,ヘッドセット,中古,,ラック一番上,ラック一番上,,5,5,5,スペシャルマッチ等で使用,
シート1,93,マウス（Lenovo）,新品,,ラック上から2段目一番左,ラック上から2段目一番左,,28,,,永和会様PC仕入時の特典,
シート1,94,マウス（Lenovo）,新品,,ラック上から2段目一番左,ラック上から2段目一番左,,3,,,腎愛会様PC仕入時の特典,
